Threat,Actions
Malware - Bot,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Malware - Virus,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Malware - Worm,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Malware - Trojan,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
PUP - Adware,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password"
PUP - Spyware,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password"
Malware - Rootkit,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Malware - Backdoor,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Malware - Ramsomware,"No Action Required,Sinkholed Domain,Sinkholed IP,Requested Re-image,Disabled Account,Reset Password,Event Escalation"
Unauthorized Access,"No Action Required,Disabled Account,Reset Password"
Unauthorized Use - Email,"No Action Required,Disabled Account,Reset Password"
Unauthorized Use - Internet,"No Action Required,Disabled Account,Reset Password"
Attacker Scanning,"No Action Required,Blocked IP Address,Reported Abuse,Disabled Account,Reset Password"
Denial of Service - Bandwidth,"No Action Required,Blocked IP Address"
Denial of Service - System Resources,"No Action Required,Blocked IP Address"
Vulnerability Exploit,"No Action Required,Blocked IP Address,Disabled Account,Reset Password,Event Escalation,System Configuration Change - Patch,System Configuration Change - CI"
